source,target,weight
2066,1057,1.000000
2822,849,1.000000
4,1351,1.000000
960,1158,1.000000
2824,2825,1.000000
2838,2839,1.000000
122,88,1.000000
2306,2846,1.000000
477,2847,1.000000
186,493,1.000000
2853,2367,1.000000
655,906,1.000000
92,317,1.000000
2864,1906,1.000000
2865,1074,1.000000
2866,795,1.000000
2868,2869,1.000000
718,2870,1.000000
2873,2874,1.000000
2886,1898,1.000000
180,2070,1.000000
474,1106,1.000000
2894,61,1.000000
2901,2902,1.000000
213,2917,1.000000
2920,2921,1.000000
200,71,1.000000
2940,2941,1.000000
174,2942,1.000000
1850,2070,1.000000
2943,356,1.000000
213,2167,1.000000
2822,2950,1.000000
25,2951,1.000000
2959,858,1.000000
4,2960,1.000000
1694,1735,1.000000
1516,2969,1.000000
53,1035,1.000000
406,1514,1.000000
2981,2982,1.000000
92,2987,1.000000
948,2988,1.000000
2995,1330,1.000000
29,3005,1.000000
2483,2941,1.000000
3010,3011,1.000000
186,3012,1.000000
1836,213,1.000000
70,3016,1.000000
2415,3017,1.000000
476,3024,1.000000
444,943,1.000000
2499,3031,1.000000
991,3039,1.000000
3046,3047,1.000000
1945,3060,1.000000
3061,3062,1.000000
3069,3070,1.000000
174,3073,1.000000
444,124,1.000000
2049,3087,1.000000
174,472,1.000000
169,3098,1.000000
878,3099,1.000000
984,189,1.000000
367,3103,1.000000
80,3107,1.000000
3110,3111,1.000000
3112,3113,1.000000
92,3114,1.000000
2475,3115,1.000000
3116,3117,1.000000
3118,3119,1.000000
1330,3121,1.000000
1224,3125,1.000000
2940,3126,1.000000
3134,3135,1.000000
3144,2658,1.000000
3145,3146,1.000000
3156,1988,1.000000
2366,3160,1.000000
3161,465,1.000000
1201,1943,1.000000
467,3163,1.000000
650,158,1.000000
3165,247,1.000000
160,32,1.000000
3167,3062,1.000000
3168,94,1.000000
53,2025,1.000000
29,2207,1.000000
3183,3184,1.000000
2727,531,1.000000
3190,3191,1.000000
2502,3196,1.000000
3197,3198,1.000000
283,3201,1.000000
283,3205,1.000000
3206,3207,1.000000
295,3208,1.000000
1694,3210,1.000000
2284,592,1.000000
553,249,1.000000
3249,2598,1.000000
742,3254,1.000000
476,3259,1.000000
3260,1158,1.000000
3261,262,1.000000
343,158,1.000000
3270,81,1.000000
960,3274,1.000000
3280,3281,1.000000
1350,1719,1.000000
3288,3289,1.000000
213,3292,1.000000
277,3298,1.000000
335,3299,1.000000
3304,782,1.000000
1172,3126,1.000000
3332,3333,1.000000
3338,2192,1.000000
2395,3341,1.000000
236,3342,1.000000
1973,3344,1.000000
3355,3356,1.000000
200,1402,1.000000
3365,3366,1.000000
3371,3372,1.000000
1124,3375,1.000000
491,333,1.000000
2359,92,1.000000
1926,3389,1.000000
2359,3393,1.000000
213,3394,1.000000
3399,3400,1.000000
367,2258,1.000000
72,2621,1.000000
3401,1791,1.000000
1789,3407,1.000000
3412,3413,1.000000
200,3414,1.000000
3417,3418,1.000000
3421,1104,1.000000
1215,3422,1.000000
3423,3424,1.000000
845,3427,1.000000
3432,187,1.000000
170,1088,1.000000
378,3433,1.000000
1602,3439,1.000000
3440,2376,1.000000
174,1613,1.000000
2869,3443,1.000000
595,3444,1.000000
624,390,1.000000
595,1139,1.000000
0,3461,1.000000
1275,3464,1.000000
3468,2110,1.000000
2411,498,1.000000
170,3489,1.000000
435,3491,1.000000
1179,353,1.000000
2359,1028,1.000000
1806,3493,1.000000
2545,2998,1.000000
3498,3499,1.000000
3500,3240,1.000000
984,3507,1.000000
780,3509,1.000000
25,535,1.000000
1580,128,1.000000
3511,3512,1.000000
21,3513,1.000000
92,3514,1.000000
1900,3515,1.000000
1175,2846,1.000000
29,3520,1.000000
3523,3158,1.000000
347,752,1.000000
3530,3374,1.000000
3531,3117,1.000000
690,3534,1.000000
3535,3536,1.000000
1201,55,1.000000
32,806,1.000000
92,199,1.000000
200,2266,1.000000
3548,1946,1.000000
213,1342,1.000000
1776,3551,1.000000
607,835,1.000000
4,1837,1.000000
248,3585,1.000000
3586,406,1.000000
3591,1990,1.000000
3596,529,1.000000
1731,3597,1.000000
3602,1421,1.000000
3607,1503,1.000000
29,3608,1.000000
1699,1288,1.000000
200,3614,1.000000
3476,3616,1.000000
1412,3618,1.000000
3635,3636,1.000000
491,3637,1.000000
2177,1801,1.000000
1379,3649,1.000000
4,3654,1.000000
1973,3655,1.000000
133,3656,1.000000
1161,1810,1.000000
2545,3660,1.000000
927,3665,1.000000
34,3668,1.000000
2748,638,1.000000
122,2967,1.000000
1398,3670,1.000000
3029,3012,1.000000
3680,3681,1.000000
323,3684,1.000000
1407,71,1.000000
476,3687,1.000000
970,2025,1.000000
456,224,1.000000
